"gutenberg_id","text"
"x121","NORTHANGER ABBEY"
"x121",""
"x121",""
"x121","by"
"x121",""
"x121","Jane Austen (1803)"
"x121",""
"x121",""
"x121",""
"x121",""
"x121","ADVERTISEMENT BY THE AUTHORESS, TO NORTHANGER ABBEY"
"x121",""
"x121","THIS little work was finished in the year 1803, and intended for"
"x121","immediate publication. It was disposed of to a bookseller, it was even"
"x121","advertised, and why the business proceeded no farther, the author"
"x121","has never been able to learn. That any bookseller should think it"
"x121","worth-while to purchase what he did not think it worth-while to publish"
"x121","seems extraordinary. But with this, neither the author nor the public"
"x121","have any other concern than as some observation is necessary upon those"
"x121","parts of the work which thirteen years have made comparatively obsolete."
"x121","The public are entreated to bear in mind that thirteen years have passed"
"x121","since it was finished, many more since it was begun, and that during"
"x121","that period, places, manners, books, and opinions have undergone"
"x121","considerable changes."
"x121",""
"x121",""
"x121",""
"x121","CHAPTER 1"
"x121",""
"x121",""
"x121","No one who had ever seen Catherine Morland in her infancy would have"
"x121","supposed her born to be an heroine. Her situation in life, the character"
"x121","of her father and mother, her own person and disposition, were"
"x121","all equally against her. Her father was a clergyman, without being"
"x121","neglected, or poor, and a very respectable man, though his name"
"x121","was Richard--and he had never been handsome. He had a considerable"
"x121","independence besides two good livings--and he was not in the least"
"x121","addicted to locking up his daughters. Her mother was a woman of useful"
"x121","plain sense, with a good temper, and, what is more remarkable, with a"
"x121","good constitution. She had three sons before Catherine was born; and"
"x121","instead of dying in bringing the latter into the world, as anybody might"
"x121","expect, she still lived on--lived to have six children more--to see them"
"x121","growing up around her, and to enjoy excellent health herself. A family"
"x121","of ten children will be always called a fine family, where there are"
"x121","heads and arms and legs enough for the number; but the Morlands had"
"x121","little other right to the word, for they were in general very plain, and"
"x121","Catherine, for many years of her life, as plain as any. She had a thin"
"x121","awkward figure, a sallow skin without colour, dark lank hair, and strong"
"x121","features--so much for her person; and not less unpropitious for heroism"
"x121","seemed her mind. She was fond of all boy's plays, and greatly preferred"
"x121","cricket not merely to dolls, but to the more heroic enjoyments of"
"x121","infancy, nursing a dormouse, feeding a canary-bird, or watering a"
"x121","rose-bush. Indeed she had no taste for a garden; and if she gathered"
"x121","flowers at all, it was chiefly for the pleasure of mischief--at least"
"x121","so it was conjectured from her always preferring those which she was"
"x121","forbidden to take. Such were her propensities--her abilities were quite"
"x121","as extraordinary. She never could learn or understand anything"
"x121","before she was taught; and sometimes not even then, for she was often"
"x121","inattentive, and occasionally stupid. Her mother was three months in"
"x121","teaching her only to repeat the ""Beggar's Petition""; and after all, her"
"x121","next sister, Sally, could say it better than she did. Not that Catherine"
"x121","was always stupid--by no means; she learnt the fable of ""The Hare and"
"x121","Many Friends"" as quickly as any girl in England. Her mother wished her"
"x121","to learn music; and Catherine was sure she should like it, for she was"
"x121","very fond of tinkling the keys of the old forlorn spinnet; so, at eight"
"x121","years old she began. She learnt a year, and could not bear it; and Mrs."
"x121","Morland, who did not insist on her daughters being accomplished in"
"x121","spite of incapacity or distaste, allowed her to leave off. The day which"
"x121","dismissed the music-master was one of the happiest of Catherine's life."
"x121","Her taste for drawing was not superior; though whenever she could obtain"
"x121","the outside of a letter from her mother or seize upon any other odd"
"x121","piece of paper, she did what she could in that way, by drawing houses"
"x121","and trees, hens and chickens, all very much like one another. Writing"
"x121","and accounts she was taught by her father; French by her mother: her"
"x121","proficiency in either was not remarkable, and she shirked her lessons in"
"x121","both whenever she could. What a strange, unaccountable character!--for"
"x121","with all these symptoms of profligacy at ten years old, she had neither"
"x121","a bad heart nor a bad temper, was seldom stubborn, scarcely ever"
"x121","quarrelsome, and very kind to the little ones, with few interruptions"
"x121","of tyranny; she was moreover noisy and wild, hated confinement and"
"x121","cleanliness, and loved nothing so well in the world as rolling down the"
"x121","green slope at the back of the house."
"x121",""
"x121","Such was Catherine Morland at ten. At fifteen, appearances were mending;"
"x121","she began to curl her hair and long for balls; her complexion improved,"
"x121","her features were softened by plumpness and colour, her eyes gained more"
"x121","animation, and her figure more consequence. Her love of dirt gave way to"
"x121","an inclination for finery, and she grew clean as she grew smart; she had"
"x121","now the pleasure of sometimes hearing her father and mother remark"
"x121","on her personal improvement. ""Catherine grows quite a good-looking"
"x121","girl--she is almost pretty today,"" were words which caught her ears now"
"x121","and then; and how welcome were the sounds! To look almost pretty is an"
"x121","acquisition of higher delight to a girl who has been looking plain the"
"x121","first fifteen years of her life than a beauty from her cradle can ever"
"x121","receive."
"x121",""
"x121","Mrs. Morland was a very good woman, and wished to see her children"
"x121","everything they ought to be; but her time was so much occupied in"
"x121","lying-in and teaching the little ones, that her elder daughters were"
"x121","inevitably left to shift for themselves; and it was not very wonderful"
"x121","that Catherine, who had by nature nothing heroic about her, should"
"x121","prefer cricket, baseball, riding on horseback, and running about"
