"gutenberg_id","text"
"x83","**********************************************************************"
"x83","THIS EBOOK WAS ONE OF PROJECT GUTENBERG'S EARLY FILES PRODUCED AT A"
"x83","TIME WHEN PROOFING METHODS AND TOOLS WERE NOT WELL DEVELOPED. THERE IS"
"x83","AN IMPROVED EDITION OF THIS TITLE WHICH MAY BE VIEWED AT EBOOK (#44278)"
"x83","**********************************************************************"
"x83",""
"x83","[Illustration]"
"x83",""
"x83",""
"x83",""
"x83",""
"x83","From the Earth to the Moon"
"x83",""
"x83","by Jules Verne"
"x83",""
"x83",""
"x83","Contents: From the Earth to the Moon"
"x83",""
"x83"," CHAPTER I. The Gun Club"
"x83"," CHAPTER II. President Barbicane’s Communication"
"x83"," CHAPTER III. Effect of the President’s Communication"
"x83"," CHAPTER IV. Reply From the Observatory of Cambridge"
"x83"," CHAPTER V. The Romance of the Moon"
"x83"," CHAPTER VI. The Permissive Limits of Ignorance and Belief in the United States"
"x83"," CHAPTER VII. The Hymn of the Cannon-Ball"
"x83"," CHAPTER VIII. History of the Cannon"
"x83"," CHAPTER IX. The Question of the Powders"
"x83"," CHAPTER X. One Enemy _v._ Twenty-Five Millions of Friends"
"x83"," CHAPTER XI. Florida and Texas"
"x83"," CHAPTER XII. Urbi et Orbi"
"x83"," CHAPTER XIII. Stones Hill"
"x83"," CHAPTER XIV. Pickaxe and Trowel"
"x83"," CHAPTER XV. The Fete of the Casting"
"x83"," CHAPTER XVI. The Columbiad"
"x83"," CHAPTER XVII. A Telegraphic Dispatch"
"x83"," CHAPTER XVIII. The Passenger of the Atlanta"
"x83"," CHAPTER XIX. A Monster Meeting"
"x83"," CHAPTER XX. Attack and Riposte"
"x83"," CHAPTER XXI. How A Frenchman Manages An Affair"
"x83"," CHAPTER XXII. The New Citizen of the United States"
"x83"," CHAPTER XXIII. The Projectile-Vehicle"
"x83"," CHAPTER XXIV. The Telescope of the Rocky Mountains"
"x83"," CHAPTER XXV. Final Details"
"x83"," CHAPTER XXVI. Fire!"
"x83"," CHAPTER XXVII. Foul Weather"
"x83"," CHAPTER XXVIII. A New Star"
"x83",""
"x83","Contents: Round the Moon"
"x83",""
"x83"," PRELIMINARY CHAPTER—Recapitulating the First Part of"
"x83",""
"x83","This Work, and Serving as a Preface to the Second"
"x83"," CHAPTER I. From Twenty Minutes Past Ten to Forty-Seven Minutes Past Ten P. M."
"x83"," CHAPTER II. The First Half Hour"
"x83"," CHAPTER III. Their Place of Shelter"
"x83"," CHAPTER IV. A Little Algebra"
"x83"," CHAPTER V. The Cold of Space"
"x83"," CHAPTER VI. Question and Answer"
"x83"," CHAPTER VII. A Moment of Intoxication"
"x83"," CHAPTER VIII.At Seventy-Eight Thousand Five Hundred and Fourteen Leagues"
"x83"," CHAPTER IX. The Consequences of A Deviation"
"x83"," CHAPTER X. The Observers of the Moon"
"x83"," CHAPTER XI. Fancy and Reality"
"x83"," CHAPTER XII. Orographic Details"
"x83"," CHAPTER XIII. Lunar Landscapes"
"x83"," CHAPTER XIV. The Night of Three Hundred and Fifty-Four Hours and A Half"
"x83"," CHAPTER XV. Hyperbola or Parabola"
"x83"," CHAPTER XVI. The Southern Hemisphere"
"x83"," CHAPTER XVII. Tycho"
"x83"," CHAPTER XVIII. Grave Questions"
"x83"," CHAPTER XIX. A Struggle Against the Impossible"
"x83"," CHAPTER XX. The Soundings of the Susquehanna"
"x83"," CHAPTER XXI. J. T. Maston Recalled"
"x83"," CHAPTER XXII. Recovered From the Sea"
"x83"," CHAPTER XXIII. The End"
"x83",""
"x83",""
"x83",""
"x83",""
"x83","FROM THE EARTH TO THE MOON"
"x83",""
"x83",""
"x83",""
"x83",""
"x83","CHAPTER I."
"x83","THE GUN CLUB"
"x83",""
"x83",""
"x83","During the War of the Rebellion, a new and influential club was"
"x83","established in the city of Baltimore in the State of Maryland. It is"
"x83","well known with what energy the taste for military matters became"
"x83","developed among that nation of ship-owners, shopkeepers, and mechanics."
"x83","Simple tradesmen jumped their counters to become extemporized captains,"
"x83","colonels, and generals, without having ever passed the School of"
"x83","Instruction at West Point; nevertheless; they quickly rivaled their"
"x83","compeers of the old continent, and, like them, carried off victories by"
"x83","dint of lavish expenditure in ammunition, money, and men."
"x83",""
"x83","But the point in which the Americans singularly distanced the Europeans"
"x83","was in the science of _gunnery_. Not, indeed, that their weapons"
"x83","retained a higher degree of perfection than theirs, but that they"
"x83","exhibited unheard-of dimensions, and consequently attained hitherto"
"x83","unheard-of ranges. In point of grazing, plunging, oblique, or"
"x83","enfilading, or point-blank firing, the English, French, and Prussians"
"x83","have nothing to learn; but their cannon, howitzers, and mortars are"
"x83","mere pocket-pistols compared with the formidable engines of the"
"x83","American artillery."
"x83",""
"x83","This fact need surprise no one. The Yankees, the first mechanicians in"
"x83","the world, are engineers—just as the Italians are musicians and the"
"x83","Germans metaphysicians—by right of birth. Nothing is more natural,"
"x83","therefore, than to perceive them applying their audacious ingenuity to"
"x83","the science of gunnery. Witness the marvels of Parrott, Dahlgren, and"
"x83","Rodman. The Armstrong, Palliser, and Beaulieu guns were compelled to"
"x83","bow before their transatlantic rivals."
"x83",""
"x83","Now when an American has an idea, he directly seeks a second American"
"x83","to share it. If there be three, they elect a president and two"
"x83","secretaries. Given _four_, they name a keeper of records, and the"
"x83","office is ready for work; _five_, they convene a general meeting, and"
"x83","the club is fully constituted. So things were managed in Baltimore. The"
"x83","inventor of a new cannon associated himself with the caster and the"
"x83","borer. Thus was formed the nucleus of the “Gun Club.” In a single month"
"x83","after its formation it numbered 1,833 effective members and 30,565"
"x83","corresponding members."
"x83",""
"x83","One condition was imposed as a _sine quâ non_ upon every candidate for"
"x83","admission into the association, and that was the condition of having"
"x83","designed, or (more or less) perfected a cannon; or, in default of a"
"x83","cannon, at least a firearm of some description. It may, however, be"
"x83","mentioned that mere inventors of revolvers, fire-shooting carbines, and"
"x83","similar small arms, met with little consideration. Artillerists always"
"x83","commanded the chief place of favor."
"x83",""
"x83","The estimation in which these gentlemen were held, according to one of"
"x83","the most scientific exponents of the Gun Club, was “proportional to the"
"x83","masses of their guns, and in the direct ratio of the square of the"
"x83","distances attained by their projectiles.”"
"x83",""
"x83","The Gun Club once founded, it is easy to conceive the result of the"
"x83","inventive genius of the Americans. Their military weapons attained"
"x83","colossal proportions, and their projectiles, exceeding the prescribed"
"x83","limits, unfortunately occasionally cut in two some unoffending"
"x83","pedestrians. These inventions, in fact, left far in the rear the timid"
"x83","instruments of European artillery."
"x83",""
"x83","It is but fair to add that these Yankees, brave as they have ever"
"x83","proved themselves to be, did not confine themselves to theories and"
"x83","formulae, but that they paid heavily, _in propriâ personâ_, for their"
"x83","inventions. Among them were to be counted officers of all ranks, from"
"x83","lieutenants to generals; military men of every age, from those who were"
"x83","just making their _début_ in the profession of arms up to those who had"
"x83","grown old in the gun-carriage. Many had found their rest on the field"
"x83","of battle whose names figured in the “Book of Honor” of the Gun Club;"
"x83","and of those who made good their return the greater proportion bore the"
"x83","marks of their indisputable valor. Crutches, wooden legs, artificial"
"x83","arms, steel hooks, caoutchouc jaws, silver craniums, platinum noses,"
"x83","were all to be found in the collection; and it was calculated by the"
"x83","great statistician Pitcairn that throughout the Gun Club there was not"
"x83","quite one arm between four persons and two legs between six."
"x83",""
"x83","Nevertheless, these valiant artillerists took no particular account of"
"x83","these little facts, and felt justly proud when the despatches of a"
"x83","battle returned the number of victims at ten-fold the quantity of"
"x83","projectiles expended."
"x83",""
"x83","One day, however—sad and melancholy day!—peace was signed between the"
"x83","survivors of the war; the thunder of the guns gradually ceased, the"
"x83","mortars were silent, the howitzers were muzzled for an indefinite"
"x83","period, the cannon, with muzzles depressed, were returned into the"
"x83","arsenal, the shot were repiled, all bloody reminiscences were effaced;"
"x83","the cotton-plants grew luxuriantly in the well-manured fields, all"
"x83","mourning garments were laid aside, together with grief; and the Gun"
"x83","Club was relegated to profound inactivity."
"x83",""
"x83","Some few of the more advanced and inveterate theorists set themselves"
"x83","again to work upon calculations regarding the laws of projectiles. They"
"x83","reverted invariably to gigantic shells and howitzers of unparalleled"
"x83","caliber. Still in default of practical experience what was the value of"
"x83","mere theories? Consequently, the clubrooms became deserted, the"
"x83","servants dozed in the antechambers, the newspapers grew mouldy on the"
"x83","tables, sounds of snoring came from dark corners, and the members of"
"x83","the Gun Club, erstwhile so noisy in their seances, were reduced to"
"x83","silence by this disastrous peace and gave themselves up wholly to"
"x83","dreams of a Platonic kind of artillery."
"x83",""
"x83","“This is horrible!” said Tom Hunter one evening, while rapidly"
"x83","carbonizing his wooden legs in the fireplace of the smoking-room;"
"x83","“nothing to do! nothing to look forward to! what a loathsome existence!"
"x83","When again shall the guns arouse us in the morning with their"
"x83","delightful reports?”"
"x83",""
"x83","“Those days are gone by,” said jolly Bilsby, trying to extend his"
"x83","missing arms. “It was delightful once upon a time! One invented a gun,"
"x83","and hardly was it cast, when one hastened to try it in the face of the"
"x83","enemy! Then one returned to camp with a word of encouragement from"
"x83","Sherman or a friendly shake of the hand from McClellan. But now the"
"x83","generals are gone back to their counters; and in place of projectiles,"
"x83","they despatch bales of cotton. By Jove, the future of gunnery in"
"x83","America is lost!”"
"x83",""
"x83","“Ay! and no war in prospect!” continued the famous James T. Maston,"
"x83","scratching with his steel hook his gutta-percha cranium. “Not a cloud"
"x83","on the horizon! and that too at such a critical period in the progress"
"x83","of the science of artillery! Yes, gentlemen! I who address you have"
"x83","myself this very morning perfected a model (plan, section, elevation,"
"x83","etc.) of a mortar destined to change all the conditions of warfare!”"
"x83",""
"x83","“No! is it possible?” replied Tom Hunter, his thoughts reverting"
