"Noticia (link)","Fecha","Cuerpo de Noticia"
"https://www.facebook.com/eldocetv/posts/2938641159505529","8/3","
eldoce.tv
Pañuelazo del 8M: mujeres se manifestaron frente al Arzobispado de Córdoba - ElDoce.tv
Por: El Doce Domingo 08 de Marzo de 2020
2 minutos

Sociedad

Día Internacional de la Mujer

La convocatoria se replicó en todo el país en reclamo del aborto legal y para pedir por la separación de la Iglesia y el Estado.

La marea verde volvió a hacerse sentir este domingo 8 de marzo en el Día Internacional de la Mujer. En Córdoba y distintos puntos del país convocaron a un pañuelazo luego de que la Iglesia Católica en Luján organizara una misa en rechazo al proyecto de Interrupción Voluntaria del Embarazo.

En horas de la tarde, cientos de mujeres salieron a las calles a marchar a favor del aborto legal. Se dirigieron hacia el Arzobispado con pancartas y carteles al grito de ""que sea ley"".

 + MIRÁ MÁS: Rescatando mujeres de la historia

Organizaciones sociales y agrupaciones políticas pidieron por la separación de la Iglesia y el Estado. También reclamaron por los derechos de las mujeres, la igualdad de género y dijeron basta de femicidios.

La marcha sigue

Este lunes 9 de marzo se llevará a cabo el Paro Internacional de Mujeres. Esta iniciativa que lleva cuatro años tiene como objetivo visibilizar una lucha colectiva vinculada a la violencia de género.

Una de las consignas será ""Un día sin nosotras"". De esta forma, buscan que mujeres dejen sus puestos de trabajo y salgan a las calles a reclamar por sus derechos. En Buenos Aires se dirigirán hacia el Congreso de la Nación.
"
"https://www.facebook.com/eldocetv/posts/2934386799930965","08/03","Vivas nos queremos

En el #8M, y como todos los días, desde ElDoce.tv nos sumamos a la lucha de millones de mujeres contra la violencia de género y machista."
"https://www.facebook.com/eldocetv/posts/2937583922944586","08/03","
eldoce.tv
8M: Córdoba y el país se movilizan por el Día de la Mujer - ElDoce.tv
Por: El Doce Domingo 08 de Marzo de 2020
1-2 minutos

Un nuevo 8 de marzo llegó y los reclamos de millones de mujeres deben seguir repitiéndose. Una vez más, volverán a marchar en el Día de la Mujer contra los femicidios, la violencia machista y por la igualdad de derechos y oportunidades.

El cuarto paro internacional de mujeres se dividirá en dos. Este domingo, la convocatoria es para las 18 en el Arzobispado de Córdoba. Allí se realizará un ""pañuelazo"".

+ MIRÁ MÁS: El feminismo no es uno solo

El lunes se concretará el paro y la convocatoria es un poco más temprano: desde las 17.30, se espera que miles de personas se movilicen desde Colón y Cañada. La movilización es convocada desde distintas organizaciones, entre ellas Ni Una Menos Córdoba, y contará con la adhesión de diferentes agrupaciones y gremios, como la UEPC.

En todo el país

Mujeres de toda la Argentina saldrán a las calles para levantar sus banderas. En ciudad de Buenos Aires, se espera un acto multitudinario en la zona del Congreso y Plaza de Mayo.
"
"https://www.facebook.com/LaVoz.com.ar/posts/10157224873585829","08/03","
lavoz.com.ar
#8M en Córdoba: pañuelazo frente al Arzobispado | La Voz
Redacción LAVOZ Domingo 08 de marzo de 2020 - 18:14 | Actualizado: 08/03/2020 - 21:56
2 minutos

Este domingo 8 de marzo se conmemorará un nuevo Día Internacional de la Mujer y en paralelo con lo que sucederá en distintos puntos del país, en Córdoba se llevará a cabo una movilización que incluirá un ""pañuelazo"" y distintas manifestaciones artísticas.

La convocatoria también incluye un paro de actividades por parte de las mujeres.

En la Capital de la ciudad, el pañuelazo se llevó a cabo desde las 18 pero frente al Arzobispado de Córdoba. En ese marco, la legisladora Soledad Díaz García consideró una ""provocación"" la movilización convocada ""en defensa de la vida"" por parte de distintos sectores de la Iglesia católica.

""La Iglesia ha querido montar una provocación justo en el Día Internacional de la Mujer y eso es evidente. En respuesta a esta provocación hemos armado este pañuelazo frente al Arzobispado en consonancia con lo que se ha convocado a nivel nacional e internacional"", dijo la legisladora a La Voz.

Cómo sigue  

Las manifestaciones continuarán el lunes 9, a nivel nacional con una multitudinaria marcha hacia el Congreso de la Nación, ya que la intención es visibilizar la importancia de las mujeres en el marco laboral, en medio de reclamos de mayor paridad y de igualdad en el pago de salarios. La gran convocatoria será a las 16 en las inmediaciones de Plaza de Mayo para marchar hacia el Congreso alrededor de las 17.

En Córdoba Capital, en tanto, la movilización se realizará desde las 17.30 horas y partirá desde Colón y Cañada para culminar en un palco que se ubicará frente a Patio Olmos.
"
"https://www.facebook.com/LaVoz.com.ar/posts/10157224359770829","08/03","En fotos, el #8M en Córdoba y el pañuelazo frente al Arzobispado

Se dio en consonancia con lo que sucedió a nivel nacional este domingo. Las actividades seguirán este lunes."
"https://www.instagram.com/p/B9iPhRqHMB4/?utm_source=ig_web_copy_link","09/03","En #Córdoba también marcharon en el marco del #parointernacionaldemujeres . Miles de mujeres se manifestaron contra la violencia machista, los abusos y desigualdades.
.
Las consignas protagonistas que colmaron las calles del centro de la ciudad fueron #NiUnaMenos #AbortoLegal y #VivasNosQueremos ."
"https://www.facebook.com/eldocetv/posts/2940683862634592","09/03","El Paro Internacional de Mujeres del 9M en Córdoba

Por cuarto año consecutivo, las mujeres salieron a las calles para reclamar por sus derechos. ""Vivas, libres y desendeudadas nos queremos, aborto legal ya” y “La deuda es con nosotras. Ni con el FMI ni con la Iglesia” son las consignas que eligieron este año."
"https://www.instagram.com/p/B9fp-Z3n55q/?utm_source=ig_web_copy_link","09/03","El cuarto paro internacional de mujeres se concretará este lunes.

La convocatoria es desde las 17.30 hs y se espera que miles de personas marchen desde Colón y Cañada.

La movilización es convocada desde distintas organizaciones, entre ellas Ni Una Menos Córdoba, y contará con la adhesión de diferentes agrupaciones y gremios, como la UEPC.
.
Este domingo #8M en Córdoba y distintos puntos del país convocaron a un pañuelazo luego de que la Iglesia Católica en Luján organizara una misa en rechazo al proyecto de Interrupción Voluntaria del Embarazo.

En horas de la tarde, cientos de mujeres salieron a las calles a marchar a favor del aborto legal. Se dirigieron hacia el Arzobispado con pancartas y carteles al grito de ""que sea ley"".
#NiUnaMenos #diadelamujer #8M"
"https://www.facebook.com/Cadena3Argentina/posts/3415805161780757:0","09/03","
cadena3.com
Paro mundial feminista: marchas y actos en todo el país
Cadena 3 Argentina
5-6 minutos

Una multitudinaria marcha tuvo lugar este lunes en las inmediaciones del Congreso en ocasión del Día Internacional de la Mujer, que fue celebrado con un masivo ""pañuelazo"" verde, en una jornada que además estuvo marcada por un paro nacional de mujeres.

Agrupaciones y partidos políticos concentrados frente al Congreso de la Nación.

La manifestación tuvo réplicas en distintas ciudades del país, y los reclamos que predominaron fueron la equidad de género en todos los planos, el fin de los femicidios y el reclamo por el aborto legal, seguro y gratuito.

En Córdoba la concentración partió desde Cañada y Colón, y marcharon hasta avenida Yrigoyen.

Miles de personas, en su mayoría grupos de chicas de entre 15 y 30 años, se movilizaron desde temprano con los característicos pañuelos verdes y sosteniendo carteles con consignas de denuncia como ""Paren de matarnos"", ""Saquen sus rosarios de nuestros ovarios"" y ""Somos las nietas de las brujas que no pudiste quemar"".

Por su parte, la ministra de las Mujeres, Géneros y Diversidad de la Nación, Elizabeth Gómez Alcorta, aseguró que, junto a las funcionarias de su cartera adhirieron al paro porque, señaló: “Ejercemos la función pública como trabajadoras”.

En tanto, la Central de los Trabajadores de la Argentina Autónoma (CTAA) adhirió al paro mundial de mujeres y diversidades con la convocatoria a una Jornada Nacional de Lucha, que incluyó ""una huelga productiva y reproductiva de mujeres, lesbianas, travestis, trans y no binaries y marchas en todo el país"".

Concentración en Buenos Aires.

Por la avenida Callao llegaron a la Plaza de los Congresos las agrupaciones de izquierda trotskista y las federaciones universitarias, mientras que las organizaciones identificados con el Frente de Todos se aglutinaron del lado de la Avenida Entre Ríos.

Concentración en Buenos Aires.

También participaron las agrupaciones estrictamente feministas como Pan y Rosas, Mala Junta y Las Rojas, colectivos de género de organizaciones sindicales, universitarias y de Derechos Humanos.

Concentración en Buenos Aires.

Estuvieron presentes, nutriendo las columnas de la marcha, organizaciones como ""Ni Una Menos"", la ""Campaña Nacional por el Aborto Legal Seguro y Gratuito"", colectivos de periodistas y actrices, y agrupaciones políticas, culturales y sindicales.

Concentración en Buenos Aires.

Una de las consignas ineludibles es el reclamo por la legalización del aborto, a pocos días de que el Gobierno presente, según prometió el presidente Alberto Fernández en la Asamblea Legislativa, un proyecto sobre interrupción voluntaria del embarazo hasta la semana 14 de gestación.

Concentración en Buenos Aires.

Pero además del aborto, la lista de reclamos incluyó, entre otros, el reconocimiento salarial en igualdad de condiciones con el hombre y la consigna ""Paren de Matarnos"" contra los femicidios.

En la antesala al acto, los parlantes reprodujeron canciones de Sudor Marika, una banda que se consagró en la difusión de letras a favor de la causa de género y disidencias sexuales, al tiempo que se armaban rondas alrededor de grupos que ensayaban performances artísticas para sensibilizar sobre la violencia de género y los femicidios.

La diputada porteña del PTS-Frente de Izquierda Myriam Bregman advirtió que ""hay sectores de la sociedad que están reaccionando contra nuestros derechos"".

""Somos conscientes de que las Iglesias se están organizando muy fuertemente para que las mujeres no avancemos en la conquista de nuestros derechos, como hicieron ayer con la contramarcha en Luján para oponerse al derecho al aborto y las mujeres, que históricamente nos movilizamos el 8 de marzo. Hoy estar movilizadas, organizadas y en la calle es fundamental, porque solo así vamos a conquistar el aborto legal"", agregó.

La consigna Ni Una Menos es uno de los motivos que convoca a marchar en Buenos Aires.

No sólo en Buenos Aires se concentró la acción de los grupos activistas de la agenda feminista: hubo réplicas en todo el país, con manifestaciones musicales, visuales y performáticas, proyecciones de cine, asambleas, charlas, talleres y ferias de libros feministas.

Mujeres rosarinas marcharon hasta el Monumento Nacional.

En Rosario 

La concentración en la ciudad de la provincia de Santa Fe, fue en Plaza Montenegro, desde donde marcharon durante siete cuadras hasta el Monumento Nacional a la Bandera. 

Hasta allí se acercaron miles de mujeres en un acto que fue masivo. 

En Rosario marcharon durante siete cuadras levantando banderas y pancartas.

Los femicidios están presentes en los carteles de las personas que participan de la marcha en Rosario.

En Córdoba

A partir de las 17.30, se convocó a una marcha que partió desde Colón y Cañada y que culminó en un escenario montado sobre avenida Yrigoyen, a la altura del Buen Pastor, en donde las agrupaciones convocantes leyeron un documento.

Aproximadamente la marcha se extendió durante 15 cuadras.

En San Luis

Mujeres marcharon en la ciudad de San Luis, atravesadas por diversas consignas feministas.

Informe de: Orlando Morales, Andrés Carpio y Muriel Yadanza.
"
"https://www.facebook.com/Cadena3Argentina/posts/3416072618420678:0","9/3","
cadena3.com
Las fotos del multitudinario paro feminista en Argentina
Cadena 3 Argentina
3-4 minutos

FOTO: 9M: En Córdoba marcharon hasta Yrigoyen (Foto: Ni una Menos Córdoba).

FOTO: 9M: En Córdoba marcharon hasta Yrigoyen (Foto: Ni una Menos Córdoba).

FOTO: Paro feminista en Córdoba por el 9M.

FOTO: Paro feminista en Córdoba por el 9M.	

FOTO: 9M: Miles de mujeres se concentraron en el Centro Cívico de Bariloche.

FOTO: 9M: Miles de mujeres se concentraron en el Centro Cívico de Bariloche.	

FOTO: 9M: Miles de mujeres se concentraron en el Centro Cívico de Bariloche.

FOTO: 9M: Miles de mujeres se concentraron en el Centro Cívico de Bariloche.	

FOTO: 9M: Miles de mujeres marcharon en todo el país.

FOTO: 9M: Miles de mujeres marcharon en todo el país.	

FOTO: 9M: Miles de mujeres marcharon en todo el país.

FOTO: 9M: Miles de mujeres marcharon en todo el país.	

FOTO: 9M: Miles de mujeres marcharon en todo el país.

FOTO: 9M: Miles de mujeres marcharon en todo el país.	

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Concentraciones en el Congreso de la Nación por el 9M.

FOTO: Paro feminista en Buenos Aires

FOTO: Paro feminista en Buenos Aires	

FOTO: Paro feminista en Rosario

FOTO: Paro feminista en Rosario	

FOTO: Paro feminista en Buenos Aires por el 9M.

FOTO: Paro feminista en Buenos Aires por el 9M.	

FOTO: Paro feminista en Buenos Aires por el 9M.

FOTO: Paro feminista en Buenos Aires por el 9M.	

FOTO: Paro feminista en Buenos Aires por el 9M.

FOTO: Paro feminista en Buenos Aires por el 9M.	

FOTO: Paro feminista en Buenos Aires por el 9M.

FOTO: Paro feminista en Buenos Aires por el 9M.	

FOTO: Paro feminista y marcha en Rosario por el 9M.

FOTO: Paro feminista y marcha en Rosario por el 9M.	

FOTO: Paro feminista y marcha en Rosario por el 9M.

FOTO: Paro feminista y marcha en Rosario por el 9M.	

FOTO: Paro feminista y marcha en Rosario por el 9M.

FOTO: Paro feminista y marcha en Rosario por el 9M.	

FOTO: Marchas en San Luis por el 9M.

FOTO: Marchas en San Luis por el 9M.	

FOTO: Marchas en San Luis por el 9M.

FOTO: Marchas en San Luis por el 9M.	

FOTO: Marchas en San Luis por el 9M.

FOTO: Marchas en San Luis por el 9M.	

FOTO: Marcha feminista por las calles de Córdoba por el 9M.

FOTO: Marcha feminista por las calles de Córdoba por el 9M.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.	

FOTO: 9M: En Córdoba marcharon desde Cañada hasta Yrigoyen por General Paz.
"
